"day","shipping_city","shipping_province","traffic_source","host","referrer","order_count","total_sales","Company.ID"
"12/11/2015","Salt Lake City","Utah","Unknown","officesnapshots.com","officesnapshots.com/2012/08/24/7-adjustable-height-desks-that-wont-betray-and-kill-you",1,620.17,"ID5290"
"12/11/2015","Billings","Montana","Direct",NA,NA,1,929.9,"ID5234"
"12/11/2015","Cape Elizabeth","Maine","Direct",NA,NA,1,448.56,"ID2137"
"12/12/2015","Griffin","Georgia","Direct",NA,NA,1,2976.52,"ID4407"
"12/12/2015","Eugene","Oregon","Direct",NA,NA,1,532.29,"ID1313"
"12/12/2015","Morgan Hill","California","Search Engine","yahoo.com","r.search.yahoo.com/_ylt=A0SO8z4eWWxWwpYAcmpXNyoA;_ylu=X3oDMTEyYnFjNGE5BGNvbG8DZ3ExBHBvcwMxBHZ0aWQDQjExNzlfMQRzZWMDc3I-/RV=2/RE=1449970078/RO=10/RU=https%3a%2f%2fwww.standdesk.co%2f/RK=0/RS=FrJT8pI22CcfzzCgat.1NvyJ8O4-",1,6259.91,"ID3773"
"12/14/2015","Fairfield","Iowa","Direct",NA,NA,1,754.66,"ID1105"
"12/15/2015","Philadelphia","Pennsylvania","Search Engine","google.com","www.google.com",1,6652.39,"ID2012"
"12/15/2015","New York City","New York","Direct","standdesk.co","www.standdesk.co",1,576.09,"ID1090"
"12/15/2015","San Francisco","California","Direct",NA,NA,1,652.08,"ID5000"
"12/15/2015","Hawthorne","California","Direct",NA,NA,1,988.89,"ID2986"
"12/16/2015","Roanoke","Virginia","Direct",NA,NA,1,580.91,"ID1679"
"12/16/2015","Portland","Oregon","Search Engine","google.com","www.google.com",1,2245.56,"ID2809"
"12/16/2015","Saratoga Springs","New York","Direct","standdesk.co","www.standdesk.co/collections/accessories/products/crossbar-1",1,70.3,"ID3102"
"12/16/2015","Sacramento","California","Direct","standdesk.co","www.standdesk.co/products/build-your-standing-desk",1,742.98,"ID4651"
"12/16/2015","San Francisco","California","Direct",NA,NA,1,3727.45,"ID1588"
"12/16/2015","Kirkland","Washington","Direct","standdesk.co","www.standdesk.co/products/build-your-standing-desk",1,540.93,"ID5246"
"12/16/2015","Sonoma","California","Search Engine","google.com","www.google.com",1,590.81,"ID1106"
"12/16/2015","Mill Valley","California","Direct","standdesk.co","www.standdesk.co/products/build-your-standing-desk",1,2065.07,"ID1884"
"12/16/2015","Austin","Texas","Search Engine","google.com","www.google.com",1,2250.4,"ID5187"
"12/17/2015","Mc Lean","Virginia","Direct",NA,NA,1,3086.04,"ID2216"
"12/17/2015","Thousand Oaks","California","Direct",NA,NA,1,1095.71,"ID2987"
"12/17/2015","Los Angeles","California","Search Engine","google.com","www.google.com",1,598.09,"ID1083"
"12/17/2015","Carson City","Nevada","Search Engine","google.com","www.google.com/url",2,1825.68,"ID4939"
